firstName,total,female,male
XISLENE,1,1,0
LINDAMARIS,1,1,0
JOÉDIS,1,0,0
MIRALVA,43,40,0
AGRISON,1,0,1
DEUSDECIO,1,0,1
JOHON,1,0,1
CLAUDEONOR,3,0,3
GENILDES,8,8,0
LEDINEI,1,0,1
DAMÁSIO,20,0,18
NORMÉLIA,11,10,0
CLEVERLAN,2,0,2
SALDETE,1,1,0
CLELVOS,1,0,1
WELITON,206,0,198
OROSIMBO,5,0,5
DAMITO,1,0,1
HERCHEL,1,0,1
ILDE,1,0,1
CHAKIB,1,0,0
DEUSETE,6,4,2
ADELIRIA,1,1,0
VERDIMAR,2,0,2
ABELÍRIO,1,0,1
DUIRCO,1,0,1
JOROEL,3,0,3
RAIDALVA,7,7,0
HIUZELIA,2,2,0
DIRCENIR,1,0,1
GEOVAL,8,0,6
ANANDRA,1,1,0
CHÁRBEL,2,0,2
HERMERSON,4,0,3
FRANCHEL,1,0,0
ROSÂNIA,10,10,0
RUCIMAR,1,0,1
GILCINEI,5,0,5
MILICIANO,1,0,1
JUSSARA,506,472,1
WANDERWILSON,2,0,2
ARULCE,1,0,1
RUBERVAN,9,0,9
ANERCIDES,1,0,0
RAIFF,1,0,1
NILZÂNIA,3,3,0
VALDOMILDO,4,0,4
MARLAO,1,0,1
FARISEU,1,0,1
LUZINÉA,1,1,0
MURIEL,11,6,4
NEILMA,4,4,0
RIOMAR,5,0,5
GESSISLANE,2,2,0
ARRABEL,1,1,0
IDELCINA,2,1,0
WALID,12,0,12
DÂ,1,0,1
GILNEANA,1,1,0
GEISIEL,4,0,3
LUCIDINEI,3,0,3
KELLYANE,4,4,0
HORVANIO,1,0,1
SULINAR,4,0,4
EUMIDES,1,0,1
GELCIVANE,1,1,0
AFRISIO,2,0,2
GISMAGNO,2,0,2
YÊDA,2,1,0
ISAILENE,4,4,0
VALDINEY,88,0,88
PENINSULAR,2,0,2
NADY,2,2,0
ZANELE,3,2,0
INAILDO,2,0,2
ELENIRA,13,11,0
MARIQUESA,1,1,0
GENILTA,1,1,0
SODON,1,0,1
LUZTANIA,1,1,0
JOÉLCIO,7,0,6
OLDAQUE,2,0,2
DEUSAMIRA,1,1,0
ALDERLAM,1,0,1
WINNIE,4,3,0
WILAMO,3,0,0
ODELAIR,1,0,1
NUBE,1,1,0
IVANIS,2,2,0
GILMÁRIA,3,3,0
RANGELO,1,0,1
LINDONIO,2,0,2
VALFER,1,0,1
VALCIDES,13,1,10
ANDELSO,2,0,2
GEOMI,1,0,1
TACÍLIA,1,1,0
DEUSCLEIDE,1,1,0
ELVIM,2,0,2
ASSIVALDO,3,0,3
ODAILZA,4,4,0
WELERSON,16,0,16
VERISSÍMO,2,0,2
AUDIVAN,2,0,2
KARINO,1,0,1
EDINEUMA,2,2,0
NILES,2,0,2
DELSI,1,1,0
AGRAIDI,1,0,1
YOLENE,1,1,0
JESSIONE,3,0,3
ALENDIR,1,0,1
HOSNY,4,0,4
RIZELDA,4,3,1
SELEIDE,1,1,0
MIZIVAN,1,0,1
ADAHILSON,3,0,2
JOCIANO,3,0,3
DEVADIR,5,0,5
BELISÁRIO,3,0,3
VANDISON,3,0,2
LISIANY,1,1,0
EDIVON,3,0,3
ROSANGE,2,2,0
GILZENITE,1,1,0
SIGISMAR,1,0,1
SONHIA,1,0,0
ELIZON,2,0,2
KLEMENSON,1,0,1
ILDEIR,1,0,1
LUNER,1,0,1
IANNARA,1,1,0
EDMICIO,5,0,5
JOMARI,2,0,1
JOANILSON,28,0,23
EVERTHON,2,0,2
ARIELA,1,1,0
EDILENY,1,1,0
ZIVALDA,6,6,0
ALEXONALDO,1,0,1
PAULIANNA,1,1,0
ALDENIVIA,1,1,0
NAIDER,2,0,2
ZELY,8,8,0
TERTULINA,2,1,0
