"firstName","total","female","male","totalFound","pr_women"
"a",1,0,1,1,0
"aarao",3,0,2,2,0
"aarão",10,0,10,10,0
"abade",1,0,1,1,0
"abadi",3,0,3,3,0
"abadias",2,0,2,2,0
"abadino",1,0,1,1,0
"abaldino",2,0,2,2,0
"abarcino",1,0,1,1,0
"abatenio",3,0,1,1,0
"abceli",1,0,1,1,0
"abcli",1,0,1,1,0
"abd",1,0,1,1,0
"abdair",1,0,1,1,0
"abdala",23,0,16,16,0
"abdcari",4,0,3,3,0
"abdeel",1,0,1,1,0
"abdel",5,0,3,3,0
"abdelcio",2,0,2,2,0
"abdeme",1,0,1,1,0
"abdenago",1,0,1,1,0
"abdenague",1,0,1,1,0
"abdenaldo",2,0,2,2,0
"abdenaque",1,0,1,1,0
"abdenardo",1,0,1,1,0
"abdenego",5,0,5,5,0
"abdenigo",2,0,2,2,0
"abdenor",1,0,1,1,0
"abderaman",1,0,1,1,0
"abdermam",1,0,1,1,0
"abderman",4,0,4,4,0
"abderval",1,0,1,1,0
"abdian",1,0,1,1,0
"abdiel",13,0,13,13,0
"abdielson",1,0,1,1,0
"abdik",1,0,1,1,0
"abdinam",2,0,2,2,0
"abdisio",1,0,1,1,0
"abdo",23,0,20,20,0
"abdom",2,0,2,2,0
"abdon",73,0,70,70,0
"abdorá",1,0,1,1,0
"abdoral",34,0,34,34,0
"abdronil",1,0,1,1,0
"abdu",3,0,3,3,0
"abduel",1,0,1,1,0
"abdul",12,0,8,8,0
"abdulio",1,0,1,1,0
"abduljabar",1,0,1,1,0
"abecio",1,0,1,1,0
"abeçolom",2,0,2,2,0
"abedalot",1,0,1,1,0
"abede",3,0,3,3,0
"abedenego",1,0,1,1,0
"abedeneigo",1,0,1,1,0
"abedenes",1,0,1,1,0
"abedenigo",1,0,1,1,0
"abedias",7,0,7,7,0
"abediel",4,0,4,4,0
"abednego",6,0,6,6,0
"abedo",1,0,1,1,0
"abedon",1,0,1,1,0
"abedone",1,0,1,1,0
"abeguar",1,0,1,1,0
"abeilar",3,0,3,3,0
"abeilard",6,0,5,5,0
"abeildo",4,0,4,4,0
"abeilton",1,0,1,1,0
"abeiro",1,0,1,1,0
"abél",1,0,1,1,0
"abelacir",1,0,1,1,0
"abelair",1,0,1,1,0
"abelar",29,0,29,29,0
"abelard",5,0,4,4,0
"abelardes",1,0,1,1,0
"abelardo",185,0,168,168,0
"abelario",1,0,1,1,0
"abelário",1,0,1,1,0
"abelcides",1,0,1,1,0
"abelcio",3,0,2,2,0
"abélcio",1,0,1,1,0
"abeli",1,0,1,1,0
"abeliano",1,0,1,1,0
"abelimar",1,0,1,1,0
"abelinho",1,0,1,1,0
"abelino",18,0,17,17,0
"abélio",1,0,1,1,0
"abelírio",1,0,1,1,0
"abelizio",2,0,2,2,0
"abelo",1,0,1,1,0
"abelonias",3,0,3,3,0
"abelor",1,0,1,1,0
"abelson",1,0,1,1,0
"abemael",2,0,2,2,0
"abemilson",3,0,3,3,0
"abemor",3,0,3,3,0
"abenacir",1,0,1,1,0
"abenael",1,0,1,1,0
"abenaia",1,0,1,1,0
"abenaias",5,0,5,5,0
"abenar",1,0,1,1,0
"abenario",1,0,1,1,0
"abenatar",1,0,1,1,0
"abenathar",1,0,1,1,0
"abene",2,0,2,2,0
"abeneci",1,0,1,1,0
"abeneir",3,0,2,2,0
"abenel",1,0,1,1,0
"abeneon",1,0,1,1,0
"abener",1,0,1,1,0
"abenicio",1,0,1,1,0
"abenidio",4,0,4,4,0
"abenil",1,0,1,1,0
"abenilcio",1,0,1,1,0
"abenildo",10,0,9,9,0
"abenilio",5,0,3,3,0
"abenílio",1,0,1,1,0
"abenilson",5,0,5,5,0
"abenilton",1,0,1,1,0
"abenir",1,0,1,1,0
"abenon",4,0,4,4,0
"abenonias",1,0,1,1,0
"abenor",2,0,2,2,0
"aberaldo",2,0,2,2,0
"abercio",3,0,3,3,0
"abércio",4,0,3,3,0
"aberenel",1,0,1,1,0
"aberides",3,0,3,3,0
"aberildo",3,0,3,3,0
"aberivaldo",2,0,2,2,0
"aberlado",2,0,2,2,0
"aberlan",2,0,2,2,0
"aberlard",1,0,1,1,0
"aberlardo",2,0,2,2,0
"aberlindo",4,0,4,4,0
"aberlino",2,0,2,2,0
"aberonio",1,0,1,1,0
"aberovaldo",2,0,2,2,0
"aberson",1,0,1,1,0
"abertanio",1,0,1,1,0
"aberthison",1,0,1,1,0
"aberval",1,0,1,1,0
"abervaldo",2,0,2,2,0
"abes",1,0,1,1,0
"abessone",2,0,2,2,0
"abetino",2,0,2,2,0
"abevaldo",3,0,3,3,0
"abezair",2,0,2,2,0
"abi",4,0,4,4,0
"abiatar",3,0,3,3,0
"abicai",1,0,1,1,0
"abiçai",2,0,2,2,0
"abidao",2,0,2,2,0
"abidene",4,0,3,3,0
"abidenis",1,0,1,1,0
"abidenor",1,0,1,1,0
"abiderman",2,0,2,2,0
"abides",3,0,3,3,0
"abidias",24,0,24,24,0
"abidiel",5,0,5,5,0
"abidnego",4,0,4,4,0
"abidom",2,0,2,2,0
"abidon",5,0,5,5,0
"abidor",1,0,1,1,0
"abidoral",7,0,7,7,0
"abiel",2,0,2,2,0
"abienor",1,0,1,1,0
"abiezé",1,0,1,1,0
"abiezer",4,0,4,4,0
"abiezio",1,0,1,1,0
"abigaildo",3,0,3,3,0
"abiguar",2,0,1,1,0
