firstName,total,female,male,prFemale
Ur,1,0,1,0.0
Katrine,7,7,0,1.0
Sigyn,3,3,0,1.0
Salim,6,0,6,0.0
Salaheldin,1,0,1,0.0
Kenny,68,1,67,0.014705882352941176
Mridul,2,0,2,0.0
Gilda,12,12,0,1.0
Mariette,28,28,0,1.0
Anna-Marie,4,4,0,1.0
Martti,14,0,14,0.0
Elsy,32,32,0,1.0
Rodhe,6,6,0,1.0
Evalill,5,5,0,1.0
San,1,0,1,0.0
Bengt-Allan,1,0,1,0.0
Björn,1443,0,1443,0.0
AnnKatrin,3,3,0,1.0
Sussanne,1,1,0,1.0
Mussa,7,0,7,0.0
Sveneric,1,0,1,0.0
Gholamreza,3,0,3,0.0
Theres,5,5,0,1.0
Anne-Sofie,4,4,0,1.0
Lisebritt,2,2,0,1.0
Nadejda,12,12,0,1.0
Safa,2,0,2,0.0
Mudi,2,0,2,0.0
Johar,8,0,8,0.0
Aki,1,0,1,0.0
Erdal,2,0,2,0.0
Jörn,3,0,3,0.0
Solomon,3,0,3,0.0
Kjetil,1,0,1,0.0
Nils-Eric,1,0,1,0.0
Sasan,3,0,3,0.0
Albert,49,0,49,0.0
Rubina,12,12,0,1.0
Kujtim,3,0,3,0.0
Abdi,1,0,1,0.0
Alisa,1,1,0,1.0
Kent-Arne,6,0,6,0.0
Kenneth,567,0,567,0.0
Yao,3,0,3,0.0
Aldijana,8,8,0,1.0
Kjell,1361,0,1361,0.0
Leena,32,32,0,1.0
Yasar,2,0,2,0.0
Ive,2,2,0,1.0
Mizgin,6,0,6,0.0
Betil,1,0,1,0.0
Päivi,17,17,0,1.0
Cay,3,0,3,0.0
Sven-Ove,24,0,24,0.0
Egil,2,0,2,0.0
MarieAnne,1,1,0,1.0
Sophia,26,26,0,1.0
Carine,1,1,0,1.0
Nedjo,5,0,5,0.0
Gittan,6,6,0,1.0
Eva-Lis,2,2,0,1.0
Erika,249,249,0,1.0
Svanthe,1,0,1,0.0
Jöns,4,0,4,0.0
Lars-Arne,30,0,30,0.0
Sead,14,0,14,0.0
Sid,1,0,1,0.0
Anna-Paulina,1,1,0,1.0
Hans-Göran,24,0,24,0.0
Juha,15,0,15,0.0
Sameh,1,0,1,0.0
Harald,87,0,87,0.0
Annkristin,5,5,0,1.0
Nof,2,2,0,1.0
Eva-Sofie,1,1,0,1.0
Ulla-Gerd,1,1,0,1.0
Marjike,2,2,0,1.0
Norun,8,8,0,1.0
Ebtisam,14,14,0,1.0
A.Gunnar,2,0,2,0.0
Lilian,178,178,0,1.0
Hans-Otto,2,0,2,0.0
Lize-Lotte,1,1,0,1.0
Grethel,1,1,0,1.0
Saw,2,2,0,1.0
Edward,79,0,79,0.0
Nataliya,2,2,0,1.0
Anne-Britt,2,2,0,1.0
Innocent,11,0,11,0.0
Öystein,8,0,8,0.0
Azam,2,2,0,1.0
Annett,3,3,0,1.0
Edip,10,0,10,0.0
Per-Gordon,2,0,2,0.0
Tulda,1,1,0,1.0
Peter,2127,0,2127,0.0
Göta,7,7,0,1.0
Jenna,1,1,0,1.0
Iza,1,1,0,1.0
Irene,236,236,0,1.0
Nelly,11,11,0,1.0
Ejlon,1,0,1,0.0
Minea,1,1,0,1.0
Fjodor,23,0,23,0.0
Cristina,50,50,0,1.0
Mariane,1,1,0,1.0
Wissam,2,0,2,0.0
Fresia,6,6,0,1.0
Eva-Lotte,11,11,0,1.0
Eva-Lita,1,1,0,1.0
Svea,3,3,0,1.0
Bülent,4,0,4,0.0
Mariánne,1,1,0,1.0
Mari,69,69,0,1.0
Gun-Brith,4,4,0,1.0
Luz,1,1,0,1.0
Sven-Hugo,2,0,2,0.0
Aynur,4,4,0,1.0
Coni,1,1,0,1.0
Jazmin,5,5,0,1.0
Fonzi,29,0,29,0.0
Valle,2,0,2,0.0
Sigrun,1,1,0,1.0
Stewe,6,0,6,0.0
Nils-Assar,21,0,21,0.0
Emmeli,3,3,0,1.0
Zuzanna,15,15,0,1.0
Anne-Lill,1,1,0,1.0
Brith,8,8,0,1.0
Tannaz,5,5,0,1.0
Leon,2,0,2,0.0
Wivianne,2,2,0,1.0
Hans-Åke,40,0,40,0.0
Grazyna,18,18,0,1.0
Esa,8,0,8,0.0
Hilda,4,4,0,1.0
Jyrki,2,0,2,0.0
Lars-Erland,1,0,1,0.0
Bert-Ove,1,0,1,0.0
Ayisha,2,2,0,1.0
Ebtesam,2,2,0,1.0
Krisztian,3,0,3,0.0
Charbel,2,0,2,0.0
Therese,162,162,0,1.0
Vamai,1,0,1,0.0
Krister,284,0,284,0.0
Jan-Ivar,2,0,2,0.0
Grels,5,0,5,0.0
Mussie,5,0,5,0.0
Esse,14,0,14,0.0
Philothée,6,6,0,1.0
Didar,18,18,0,1.0
Nihad,21,0,21,0.0
Stanko,2,0,2,0.0
Penny,2,2,0,1.0
Yasi,1,1,0,1.0
Gun-Karin,1,1,0,1.0
Firas,4,0,4,0.0
Malik,2,0,2,0.0
Aneth,1,1,0,1.0
Maine,4,4,0,1.0
Adnan,27,0,27,0.0
Gullan,6,6,0,1.0
Carl-Henrik,21,0,21,0.0
Giovanni,6,0,6,0.0
Martis,7,0,7,0.0
Rasoul,11,0,11,0.0
Milla,1,1,0,1.0
Tjälvar,2,0,2,0.0
Bina,8,8,0,1.0
Rigmor,84,84,0,1.0
Miko,6,0,6,0.0
Zazan,18,0,18,0.0
Jan-David,1,0,1,0.0
Alli-Marie,7,7,0,1.0
Abdikani,12,0,12,0.0
Fadia,4,4,0,1.0
Marianna,5,5,0,1.0
Perolof,8,0,8,0.0
Naliya,2,2,0,1.0
Nuhi,9,0,9,0.0
Levon,2,0,2,0.0
Herman,50,0,50,0.0
Claire,3,3,0,1.0
Seyfi,12,0,12,0.0
Suss,1,1,0,1.0
Jan-Anders,12,0,12,0.0
Renee,6,6,0,1.0
Holger,49,0,49,0.0
Gin,3,3,0,1.0
Asbjörn,2,0,2,0.0
Rolf.G,4,0,4,0.0
Bo-Gunnar,1,0,1,0.0
Georgette,4,4,0,1.0
Zekeriya,2,0,2,0.0
Bahram,3,0,3,0.0
Jojo,1,1,0,1.0
Mårthen,1,0,1,0.0
Per-Olle,2,0,2,0.0
Kia,39,39,0,1.0
Sandy,3,3,0,1.0
Thord,70,0,70,0.0
Zlatinka,3,3,0,1.0
Ninos,15,0,15,0.0
Birgitt,1,1,0,1.0
Josette,1,1,0,1.0
Maren,2,2,0,1.0
Sverker,50,0,50,0.0
Inga-Lisen,1,1,0,1.0
Eve,6,6,0,1.0
Ninnie,4,4,0,1.0
Vjollca,1,1,0,1.0
Carsten,2,0,2,0.0
Ganimete,1,1,0,1.0
Ratko,1,0,1,0.0
Annaeva,1,1,0,1.0
Annkatrin,15,15,0,1.0
Kathy,1,1,0,1.0
Ann-Cristin,4,4,0,1.0
Shadi,174,174,0,1.0
Donaldh,1,0,1,0.0
Said,19,0,19,0.0
Mariam,47,47,0,1.0
Derin,3,3,0,1.0
Teresia,20,20,0,1.0
Fatma,3,3,0,1.0
Asiye,2,2,0,1.0
Yar,2,0,2,0.0
Sissi,1,1,0,1.0
Suad,10,7,3,0.7
Remi,2,0,2,0.0
Annicki,1,1,0,1.0
Mauri,8,0,8,0.0
Sten-Olof,4,0,4,0.0
Irgens,1,0,1,0.0
Yoomi,2,2,0,1.0
Mohamad,23,0,23,0.0
Willis,1,0,1,0.0
Kally,1,1,0,1.0
MariAnne,9,9,0,1.0
Asima,4,4,0,1.0
Elinor,40,40,0,1.0
Heidie,3,3,0,1.0
Danica,10,10,0,1.0
Rut,31,31,0,1.0
Antonia,6,6,0,1.0
Rikard,148,0,148,0.0
Joseph,9,0,9,0.0
Jan-Elof,1,0,1,0.0
Berna,7,7,0,1.0
Bryan,3,0,3,0.0
Nana,1,1,0,1.0
Ulf-Peter,7,0,7,0.0
Leila,21,21,0,1.0
Victoria,81,81,0,1.0
Rana,6,6,0,1.0
Edison,1,0,1,0.0
Gun-Mari,1,1,0,1.0
Cani,2,2,0,1.0
Ann-Britt,136,136,0,1.0
Róbert,1,0,1,0.0
Zakarias,1,0,1,0.0
Larsaxel,2,0,2,0.0
Nils-Ebbe,1,0,1,0.0
Sofija,3,3,0,1.0
Berno,9,0,9,0.0
Janna,9,9,0,1.0
Denise,7,7,0,1.0
Erzsébet,1,1,0,1.0
Farshad,2,0,2,0.0
Annchristin,1,1,0,1.0
Oscar,131,0,131,0.0
Medo,1,0,1,0.0
Sally,3,3,0,1.0
Zakaria,1,0,1,0.0
Patric,60,0,60,0.0
Ljerka,7,7,0,1.0
Edgardo,7,0,7,0.0
Tom,120,0,120,0.0
KarinMalin,1,1,0,1.0
Ajrula,2,0,2,0.0
Donal,1,0,1,0.0
Lisette,9,9,0,1.0
Kristian,56,0,56,0.0
Somir,1,0,1,0.0
Celal,7,0,7,0.0
Tesfamikael,1,0,1,0.0
Petri,36,0,36,0.0
Ljupco,1,0,1,0.0
Nehayat,4,4,0,1.0
Huseyin,10,0,10,0.0
Pim,1,1,0,1.0
Hussien,3,0,3,0.0
Lazarus,12,0,12,0.0
Mari-Teres,1,1,0,1.0
Günter,5,0,5,0.0
